,AGG,EMB,EWT,IVV,JNK,PFF,TLT,VGK,VNQ,VPL,VWO
2013-06-28,14.233465494817537,8.029250639552739,57.070496824090974,18.481873538674073,7.901156331519078,23.98425309324301,7.020997841730763,33.08233774129759,24.62181414451886,27.566588239055758,39.614891871942824
2013-07-31,14.54386243739305,8.213631131996026,57.05634027453663,17.967466162983623,7.8954286152537145,24.707145460032454,7.35959447280618,31.493336829905775,25.000909564917485,27.727070399148477,40.307188457782225
2013-08-30,14.300600687287274,8.209064850017803,56.25750780480189,18.069808393913373,7.779366934862495,24.63218926013586,7.274198398304769,31.167956219761415,26.20900640610755,27.443347047213436,40.70179755184994
2013-09-30,14.711665127425633,8.278771080718071,56.67328487561693,18.20771317261108,8.016490427893505,25.45091154485172,7.518151806058015,30.252403385035365,26.347150846999014,26.24918084723869,39.46955768322038
2013-10-31,15.067295158075368,8.33811799386271,56.108100336847,17.974117135098176,8.076512558459775,26.042357000683186,7.654509135758366,29.987171688194174,26.031896168963133,26.68145984339606,39.06637218658908
2013-11-29,15.072095784921364,8.49160905925406,56.53044321089415,17.41537325801964,7.996156377683505,25.90166685311089,7.849970867457014,29.619028275340092,27.414488748489145,26.614478371371444,39.34743661514925
2013-12-31,15.316597928152635,8.541565408357595,55.81318478724313,17.128857665862803,8.02500423466527,26.470977817752107,8.06963285719674,29.025271036903806,27.626579809313263,26.681937571658885,39.805503288130076
2014-01-31,14.746586400782952,8.418902907850397,57.98188422516255,17.351143322654632,7.801167234906039,25.134692342742344,7.421290895404601,29.73605590821071,25.90100460173258,27.99365763637007,42.499313893041176
2014-02-28,15.235790637608773,8.440167164432015,58.03509317925152,17.20944335106307,7.907551320804037,25.48513590811553,7.6562011032349115,28.72861121577319,25.565884712769705,27.907381427885188,42.69168934490938
2014-03-31,15.40936650893556,8.423393792284894,57.265315641005294,17.229141609533638,7.987347424882024,25.295510143070803,7.67576527191734,29.196511438558932,25.69121940421428,28.288798583930262,41.20733045013695
2014-04-30,15.491217111164143,8.448278661482748,57.05133460290879,17.333980720123996,8.051107857130006,25.175939423527403,7.62027488555654,28.82982655830885,25.211633958700048,28.692149279770035,41.39930918005241
2014-05-30,15.658886065563648,8.350876847113334,56.53402060085431,17.332289941239125,8.159484799888196,25.431317504083328,7.570309658437543,29.25830999244123,25.180937257995218,28.429840844985243,41.067016536300486
2014-06-30,15.926230870576974,8.484884665771585,54.95656162576203,17.258044913596954,8.215909660939126,25.69323701986343,7.714516623615016,29.767124887275603,25.30907834906885,28.08124372326664,40.46030602027756
2014-07-31,15.861842717560393,8.450606179595978,54.77015874516845,17.38779879554253,8.360798900647282,25.652262159897347,7.613455438199224,30.90756927259315,25.123273482938238,27.644265748799548,39.653025062570585
2014-08-29,16.09291756368516,8.563533912186228,53.61951908834736,17.16270625587862,8.370022315767455,25.86297009447027,7.460741933055769,31.487772932370724,25.020653735382393,28.49645717710863,39.18737383489537
2014-09-30,15.601656390778956,8.43310677030444,55.85822607502731,16.766506000620172,8.2659110015944,25.12666153945176,7.34362002106881,31.594650710728896,25.657514839014336,28.80243516335926,40.67188009261448
2014-10-31,15.831239436866282,8.480841723120873,55.64352980278657,16.793608879144735,8.39866586457106,25.495457843690964,7.324529040216797,33.028756881371066,23.933715480900318,28.65771801828053,40.7998119911496
